tile,antennaID,RSS,mno_name,maxconnections,x,y,SDM,SDM_ori,RSS_ori,nAntCover,rasterCell
1,04,,MNO1,56,9750,6250,,1.03557982568273e-16,-120.896,1,382
1,05,,MNO1,56,7250,5500,,2.90545876945655e-14,-117.336,1,382
1,06,,MNO1,56,4000,4500,,2.62728483208589e-10,-104.511,1,382
1,07,,MNO1,56,6500,4000,,1.90181027507127e-13,-109.628,1,382
1,08,,MNO1,56,8000,4000,,9.98288419302718e-22,-131.356,1,382
1,09,,MNO1,56,8000,4000,,3.0890760889768e-22,-132.529,1,382
1,10,,MNO1,56,8000,4000,,1.83818081474938e-15,-116.93,1,382
1,11,,MNO1,56,8500,3000,,5.55094229831718e-29,-112.687,1,382
1,12,,MNO1,56,250,2500,,1.40650288458635e-05,-91.1433,1,382
1,13,,MNO1,56,0,3500,,6.87722807840312e-08,-97.4029,1,382
1,14,,MNO1,56,8750,1500,,2.24143607842751e-19,-110.471,1,382
1,15,,MNO1,56,6750,1875,,3.03342183837894e-14,-114.751,1,382
1,16,,MNO1,56,9750,1750,,3.09806088533207e-15,-118.408,1,382
1,17,,MNO1,56,5500,9500,,1.77569394582148e-14,-116.662,1,382
1,18,,MNO1,56,3250,9250,,1.09265029565852e-13,-114.845,1,382
1,19,,MNO1,56,750,7500,,7.98864466054337e-12,-110.553,1,382
1,20,,MNO1,56,4250,8250,,3.41988255185601e-13,-113.704,1,382
1,21,,MNO1,56,650,6250,,4.49524924567213e-12,-111.128,1,382
1,22,,MNO1,56,2250,7750,,3.22528434684487e-12,-111.46,1,382
1,23,,MNO1,56,750,5000,,2.60608978079308e-10,-107.068,1,382
1,24,,MNO1,56,2500,5500,,7.75122526179635e-10,-105.978,1,382
1,25,,MNO1,56,1750,3500,,5.21013460774557e-08,-97.7295,1,382
1,26,,MNO1,56,3250,3750,,8.05977808171816e-11,-105.343,1,382
1,27,,MNO1,56,3250,2400,,8.11359186009841e-08,-97.2084,1,382
1,28,,MNO1,56,3750,6500,,6.99776842581326e-14,-113.636,1,382
1,29,,MNO1,56,5000,6000,,3.00624352768503e-14,-114.63,1,382
