device,time,tile,event_cellID,TA,eventLocProb
,,0,32,17,3.97299688898734e-07
,,0,32,18,1.90591515304578e-05
,,0,32,19,5.08390025099596e-07
,,0,33,0,0.0337148826412309
,,0,33,1,0.934305897101175
,,0,33,2,0.000470826562103534
,,0,34,21,5.01187965580087e-06
,,0,34,22,1.52944736147211e-06
,,0,35,23,8.47164006445816e-08
,,0,35,24,3.899748142121e-06
,,0,35,25,1.07820357076581e-07
,,0,36,18,5.26333044515394e-06
,,0,36,19,6.02074188108602e-06
,,0,37,3,0.00494147712628106
,,0,37,4,0.00192502977899881
,,0,38,8,4.32514403598986e-05
,,0,38,9,0.000388432469128562
,,0,39,9,0.000119621846174286
,,0,39,10,0.000184092887786746
,,0,40,9,0.000146345162344565
,,0,40,10,0.000165806650261857
,,0,41,20,2.86793551582417e-06
,,0,41,21,1.01567084689157e-05
,,0,42,17,1.94014041381295e-05
,,0,42,18,9.65660534349163e-06
,,0,43,18,2.19128512112683e-05
,,0,43,19,2.34255144851116e-05
,,0,44,12,7.59483464344634e-05
,,0,44,13,5.26590247712214e-05
,,0,45,10,8.21094566426202e-05
,,0,45,11,0.000149985584265758
,,0,46,10,1.86929014670954e-08
,,0,46,11,7.90192379200952e-05
,,0,46,12,3.42634721496533e-06
,,0,47,16,3.34671614206511e-06
,,0,47,17,3.32520008622853e-05
,,0,48,8,0.000490811275571571
,,0,48,9,4.85327361124244e-05
,,0,49,7,0.000100091231587292
,,0,49,8,0.000230785221169101
,,0,50,15,8.41762852096075e-06
,,0,50,16,4.35539444221639e-05
,,0,51,16,9.08209933360665e-06
,,0,51,17,8.64615041006813e-06
,,0,52,13,3.52415487336964e-05
,,0,52,14,6.63451587055228e-06
,,0,53,14,7.24348246163024e-05
,,0,53,15,6.79083452894612e-06
,,0,54,16,3.41729944088138e-05
,,0,54,17,1.20827698689191e-05
,,0,55,17,5.68583570798024e-06
,,0,55,18,1.56871827657775e-05
,,0,56,16,1.39142110123649e-05
,,0,56,17,1.48384379607181e-06
,,0,57,17,5.96976363943718e-06
,,0,57,18,2.73318947241329e-05
,,0,58,17,2.79240886057324e-07
,,0,58,18,2.97282540869284e-05
,,0,58,19,1.38789349568472e-06
,,0,59,17,1.30340097501152e-05
